user_id,install_date,event_date,country,device,ab_group,acquisition_channel,session_length,revenue
21,2026-01-21,2026-01-22,IN,iOS,A,Referral,19,5
21,2026-01-21,2026-01-25,IN,iOS,A,Referral,39,15
21,2026-01-21,2026-01-26,IN,iOS,A,Referral,26,5
22,2026-01-02,2026-01-02,IN,Android,B,Organic,38,0
23,2026-01-24,2026-01-24,US,Android,A,Referral,10,5
23,2026-01-24,2026-01-27,US,Android,A,Referral,18,5
23,2026-01-24,2026-01-28,US,Android,A,Referral,48,10
24,2026-01-12,2026-01-13,IN,Android,A,Ads,39,0
25,2026-01-30,2026-01-30,DE,Android,B,Referral,36,5
25,2026-01-30,2026-02-02,DE,Android,B,Referral,21,10
26,2026-01-06,2026-01-06,FI,iOS,A,Referral,36,15
26,2026-01-06,2026-01-07,FI,iOS,A,Referral,18,0
27,2026-01-02,2026-01-03,US,Android,A,Influencer,20,0
27,2026-01-02,2026-01-04,US,Android,A,Influencer,30,8
28,2026-01-28,2026-01-29,US,Android,B,Ads,28,0
29,2026-01-21,2026-01-21,FI,iOS,A,Organic,6,10
29,2026-01-21,2026-01-22,FI,iOS,A,Organic,48,5
29,2026-01-21,2026-01-23,FI,iOS,A,Organic,20,5
29,2026-01-21,2026-01-24,FI,iOS,A,Organic,42,0
29,2026-01-21,2026-01-25,FI,iOS,A,Organic,57,0
29,2026-01-21,2026-01-26,FI,iOS,A,Organic,38,5
29,2026-01-21,2026-01-29,FI,iOS,A,Organic,50,10
30,2026-01-01,2026-01-02,IN,Android,B,Organic,46,0
30,2026-01-01,2026-01-03,IN,Android,B,Organic,36,0
30,2026-01-01,2026-01-04,IN,Android,B,Organic,24,0
31,2026-01-12,2026-01-12,FI,iOS,B,Ads,7,0
31,2026-01-12,2026-01-13,FI,iOS,B,Ads,21,2
31,2026-01-12,2026-01-14,FI,iOS,B,Ads,21,0
31,2026-01-12,2026-01-15,FI,iOS,B,Ads,36,0
31,2026-01-12,2026-01-19,FI,iOS,B,Ads,46,0
32,2026-01-26,2026-01-29,IN,Android,B,Organic,45,0
32,2026-01-26,2026-01-30,IN,Android,B,Organic,23,0
32,2026-01-26,2026-01-31,IN,Android,B,Organic,51,10
32,2026-01-26,2026-02-01,IN,Android,B,Organic,34,0
32,2026-01-26,2026-02-02,IN,Android,B,Organic,49,10
32,2026-01-26,2026-02-03,IN,Android,B,Organic,29,0
33,2026-01-22,2026-01-23,FI,Android,B,Ads,45,0
33,2026-01-22,2026-01-26,FI,Android,B,Ads,39,0
33,2026-01-22,2026-01-27,FI,Android,B,Ads,25,5
33,2026-01-22,2026-01-28,FI,Android,B,Ads,21,0
34,2026-01-29,2026-01-29,DE,iOS,B,Referral,20,0
34,2026-01-29,2026-01-30,DE,iOS,B,Referral,39,0
34,2026-01-29,2026-02-03,DE,iOS,B,Referral,51,15
35,2026-01-12,2026-01-13,IN,iOS,A,Organic,31,5
36,2026-01-25,2026-01-26,DE,Android,A,Ads,16,5
36,2026-01-25,2026-01-29,DE,Android,A,Ads,40,5
36,2026-01-25,2026-01-30,DE,Android,A,Ads,30,2
37,2026-01-17,2026-01-17,US,Android,B,Organic,20,0
37,2026-01-17,2026-01-19,US,Android,B,Organic,41,0
37,2026-01-17,2026-01-20,US,Android,B,Organic,40,5
37,2026-01-17,2026-01-21,US,Android,B,Organic,23,0
38,2026-01-27,2026-01-29,FI,Android,B,Organic,24,0
38,2026-01-27,2026-01-30,FI,Android,B,Organic,40,0
38,2026-01-27,2026-01-31,FI,Android,B,Organic,20,0
39,2026-01-27,2026-01-29,US,iOS,A,Ads,38,5
39,2026-01-27,2026-01-30,US,iOS,A,Ads,58,5
39,2026-01-27,2026-01-31,US,iOS,A,Ads,56,2
40,2026-01-10,2026-01-10,US,Android,B,Influencer,55,3
41,2026-01-28,2026-01-30,US,iOS,B,Influencer,24,3
42,2026-01-28,2026-01-28,US,iOS,B,Organic,8,0
42,2026-01-28,2026-01-30,US,iOS,B,Organic,13,0
42,2026-01-28,2026-01-31,US,iOS,B,Organic,8,5
42,2026-01-28,2026-02-01,US,iOS,B,Organic,35,10
43,2026-01-16,2026-01-18,FI,Android,A,Ads,57,0
44,2026-01-15,2026-01-15,US,iOS,A,Referral,6,15
44,2026-01-15,2026-01-17,US,iOS,A,Referral,20,5
44,2026-01-15,2026-01-18,US,iOS,A,Referral,35,10
45,2026-01-30,2026-01-31,FI,Android,B,Organic,8,5
45,2026-01-30,2026-02-01,FI,Android,B,Organic,54,10
45,2026-01-30,2026-02-02,FI,Android,B,Organic,37,5
45,2026-01-30,2026-02-04,FI,Android,B,Organic,32,0
45,2026-01-30,2026-02-06,FI,Android,B,Organic,28,10
46,2026-01-30,2026-01-30,FI,Android,B,Ads,44,0
48,2026-01-30,2026-01-31,IN,Android,A,Organic,42,10
49,2026-01-19,2026-01-19,IN,Android,B,Organic,14,10
49,2026-01-19,2026-01-21,IN,Android,B,Organic,45,0
49,2026-01-19,2026-01-22,IN,Android,B,Organic,41,0
49,2026-01-19,2026-01-23,IN,Android,B,Organic,26,0
49,2026-01-19,2026-01-25,IN,Android,B,Organic,45,10
49,2026-01-19,2026-01-26,IN,Android,B,Organic,30,0
50,2026-01-12,2026-01-12,FI,iOS,B,Organic,30,0
50,2026-01-12,2026-01-16,FI,iOS,B,Organic,6,0
50,2026-01-12,2026-01-19,FI,iOS,B,Organic,6,5
51,2026-01-23,2026-01-24,DE,iOS,A,Organic,16,0
51,2026-01-23,2026-01-27,DE,iOS,A,Organic,14,0
51,2026-01-23,2026-01-28,DE,iOS,A,Organic,22,10
51,2026-01-23,2026-01-29,DE,iOS,A,Organic,16,0
51,2026-01-23,2026-01-30,DE,iOS,A,Organic,40,0
51,2026-01-23,2026-01-31,DE,iOS,A,Organic,18,5
52,2026-01-20,2026-01-21,FI,Android,A,Influencer,49,8
53,2026-01-25,2026-01-25,FI,Android,A,Ads,20,0
53,2026-01-25,2026-01-27,FI,Android,A,Ads,55,2
53,2026-01-25,2026-01-28,FI,Android,A,Ads,49,5
53,2026-01-25,2026-01-29,FI,Android,A,Ads,36,2
54,2026-01-03,2026-01-03,FI,iOS,B,Referral,31,15
54,2026-01-03,2026-01-04,FI,iOS,B,Referral,18,10
55,2026-01-05,2026-01-05,DE,iOS,A,Referral,39,0
56,2026-01-19,2026-01-19,IN,iOS,B,Organic,27,10
58,2026-01-21,2026-01-23,US,Android,A,Organic,12,5
58,2026-01-21,2026-01-24,US,Android,A,Organic,48,5
58,2026-01-21,2026-01-25,US,Android,A,Organic,43,5
59,2026-01-09,2026-01-13,DE,Android,A,Organic,51,0
59,2026-01-09,2026-01-14,DE,Android,A,Organic,33,10
60,2026-01-07,2026-01-07,DE,iOS,A,Referral,52,10
60,2026-01-07,2026-01-08,DE,iOS,A,Referral,39,0
60,2026-01-07,2026-01-09,DE,iOS,A,Referral,16,15
61,2026-01-18,2026-01-19,DE,Android,B,Organic,47,0
61,2026-01-18,2026-01-22,DE,Android,B,Organic,51,0
62,2026-01-04,2026-01-04,DE,iOS,B,Influencer,12,0
62,2026-01-04,2026-01-05,DE,iOS,B,Influencer,55,0
62,2026-01-04,2026-01-06,DE,iOS,B,Influencer,17,8
63,2026-01-25,2026-01-25,IN,Android,A,Ads,23,0
63,2026-01-25,2026-01-28,IN,Android,A,Ads,30,0
63,2026-01-25,2026-01-30,IN,Android,A,Ads,47,0
63,2026-01-25,2026-02-01,IN,Android,A,Ads,42,0
65,2026-01-14,2026-01-16,IN,Android,A,Organic,15,5
65,2026-01-14,2026-01-17,IN,Android,A,Organic,29,10
65,2026-01-14,2026-01-20,IN,Android,A,Organic,57,0
65,2026-01-14,2026-01-21,IN,Android,A,Organic,28,10
66,2026-01-18,2026-01-20,IN,iOS,A,Ads,56,2
66,2026-01-18,2026-01-26,IN,iOS,A,Ads,27,0
67,2026-01-26,2026-01-27,DE,iOS,A,Ads,23,0
67,2026-01-26,2026-01-29,DE,iOS,A,Ads,34,2
67,2026-01-26,2026-02-03,DE,iOS,A,Ads,29,0
68,2026-01-09,2026-01-13,FI,Android,A,Ads,27,0
69,2026-01-26,2026-01-26,FI,iOS,B,Ads,53,0
69,2026-01-26,2026-01-27,FI,iOS,B,Ads,11,5
69,2026-01-26,2026-01-28,FI,iOS,B,Ads,31,2
69,2026-01-26,2026-01-29,FI,iOS,B,Ads,48,5
69,2026-01-26,2026-01-31,FI,iOS,B,Ads,8,0
70,2026-01-21,2026-01-21,IN,Android,A,Ads,5,0
70,2026-01-21,2026-01-24,IN,Android,A,Ads,23,2
70,2026-01-21,2026-01-26,IN,Android,A,Ads,31,0
71,2026-01-02,2026-01-02,IN,Android,A,Influencer,33,8
72,2026-01-20,2026-01-22,DE,iOS,B,Ads,52,0
73,2026-01-28,2026-01-28,IN,Android,A,Referral,48,15
73,2026-01-28,2026-01-31,IN,Android,A,Referral,11,0
73,2026-01-28,2026-02-01,IN,Android,A,Referral,30,10
73,2026-01-28,2026-02-02,IN,Android,A,Referral,10,5
74,2026-01-15,2026-01-16,DE,Android,A,Referral,22,10
74,2026-01-15,2026-01-18,DE,Android,A,Referral,46,0
74,2026-01-15,2026-01-19,DE,Android,A,Referral,16,5
74,2026-01-15,2026-01-21,DE,Android,A,Referral,58,0
74,2026-01-15,2026-01-22,DE,Android,A,Referral,33,0
75,2026-01-28,2026-01-28,FI,Android,A,Influencer,56,3
75,2026-01-28,2026-01-29,FI,Android,A,Influencer,58,0
75,2026-01-28,2026-02-01,FI,Android,A,Influencer,41,0
77,2026-01-12,2026-01-12,US,Android,A,Referral,8,0
77,2026-01-12,2026-01-13,US,Android,A,Referral,28,5
77,2026-01-12,2026-01-14,US,Android,A,Referral,10,5
78,2026-01-29,2026-01-29,FI,iOS,B,Organic,20,5
78,2026-01-29,2026-01-30,FI,iOS,B,Organic,32,10
78,2026-01-29,2026-01-31,FI,iOS,B,Organic,59,0
78,2026-01-29,2026-02-01,FI,iOS,B,Organic,49,0
78,2026-01-29,2026-02-02,FI,iOS,B,Organic,27,0
78,2026-01-29,2026-02-04,FI,iOS,B,Organic,14,5
78,2026-01-29,2026-02-06,FI,iOS,B,Organic,33,5
79,2026-01-08,2026-01-08,IN,Android,A,Organic,32,0
79,2026-01-08,2026-01-09,IN,Android,A,Organic,10,10
79,2026-01-08,2026-01-10,IN,Android,A,Organic,17,0
80,2026-01-15,2026-01-16,FI,Android,A,Organic,24,5
80,2026-01-15,2026-01-17,FI,Android,A,Organic,25,5
81,2026-01-03,2026-01-03,DE,Android,B,Referral,17,10
81,2026-01-03,2026-01-05,DE,Android,B,Referral,17,0
81,2026-01-03,2026-01-06,DE,Android,B,Referral,19,10
81,2026-01-03,2026-01-07,DE,Android,B,Referral,45,5
81,2026-01-03,2026-01-08,DE,Android,B,Referral,41,15
81,2026-01-03,2026-01-09,DE,Android,B,Referral,47,15
82,2026-01-14,2026-01-20,FI,Android,A,Ads,27,0
83,2026-01-17,2026-01-18,US,Android,A,Referral,17,10
83,2026-01-17,2026-01-19,US,Android,A,Referral,22,10
83,2026-01-17,2026-01-20,US,Android,A,Referral,32,10
83,2026-01-17,2026-01-21,US,Android,A,Referral,36,10
84,2026-01-04,2026-01-04,FI,iOS,B,Organic,24,10
84,2026-01-04,2026-01-05,FI,iOS,B,Organic,50,0
84,2026-01-04,2026-01-06,FI,iOS,B,Organic,7,0
84,2026-01-04,2026-01-07,FI,iOS,B,Organic,20,10
84,2026-01-04,2026-01-08,FI,iOS,B,Organic,34,0
84,2026-01-04,2026-01-09,FI,iOS,B,Organic,29,10
84,2026-01-04,2026-01-10,FI,iOS,B,Organic,51,0
84,2026-01-04,2026-01-12,FI,iOS,B,Organic,54,5
85,2026-01-18,2026-01-18,DE,Android,B,Referral,59,10
86,2026-01-08,2026-01-08,DE,iOS,B,Influencer,50,0
86,2026-01-08,2026-01-10,DE,iOS,B,Influencer,45,0
86,2026-01-08,2026-01-11,DE,iOS,B,Influencer,59,0
86,2026-01-08,2026-01-12,DE,iOS,B,Influencer,58,3
86,2026-01-08,2026-01-13,DE,iOS,B,Influencer,59,8
86,2026-01-08,2026-01-14,DE,iOS,B,Influencer,37,3
87,2026-01-04,2026-01-05,IN,iOS,B,Ads,30,0
87,2026-01-04,2026-01-06,IN,iOS,B,Ads,39,5
88,2026-01-02,2026-01-02,FI,iOS,B,Influencer,32,8
88,2026-01-02,2026-01-05,FI,iOS,B,Influencer,59,3
88,2026-01-02,2026-01-07,FI,iOS,B,Influencer,25,0
89,2026-01-30,2026-01-30,DE,iOS,A,Ads,27,0
89,2026-01-30,2026-02-06,DE,iOS,A,Ads,43,0
90,2026-01-06,2026-01-06,US,Android,B,Ads,51,0
90,2026-01-06,2026-01-07,US,Android,B,Ads,54,2
91,2026-01-22,2026-01-22,IN,iOS,A,Ads,57,5
91,2026-01-22,2026-01-24,IN,iOS,A,Ads,44,5
91,2026-01-22,2026-01-26,IN,iOS,A,Ads,41,5
91,2026-01-22,2026-01-27,IN,iOS,A,Ads,32,0
92,2026-01-10,2026-01-10,US,iOS,A,Ads,54,0
93,2026-01-04,2026-01-04,FI,Android,A,Organic,10,0
93,2026-01-04,2026-01-05,FI,Android,A,Organic,6,10
93,2026-01-04,2026-01-06,FI,Android,A,Organic,57,5
93,2026-01-04,2026-01-07,FI,Android,A,Organic,23,0
93,2026-01-04,2026-01-09,FI,Android,A,Organic,28,0
93,2026-01-04,2026-01-10,FI,Android,A,Organic,5,10
93,2026-01-04,2026-01-11,FI,Android,A,Organic,53,10
93,2026-01-04,2026-01-12,FI,Android,A,Organic,38,0
95,2026-01-29,2026-02-01,FI,Android,B,Ads,38,2
95,2026-01-29,2026-02-03,FI,Android,B,Ads,29,5
95,2026-01-29,2026-02-06,FI,Android,B,Ads,45,0
96,2026-01-18,2026-01-22,IN,iOS,A,Influencer,13,3
96,2026-01-18,2026-01-23,IN,iOS,A,Influencer,44,0
96,2026-01-18,2026-01-24,IN,iOS,A,Influencer,30,8
97,2026-01-26,2026-01-26,DE,Android,B,Referral,39,0
99,2026-01-02,2026-01-04,US,iOS,B,Referral,12,10
99,2026-01-02,2026-01-05,US,iOS,B,Referral,50,15
100,2026-01-10,2026-01-10,IN,Android,B,Referral,15,10
100,2026-01-10,2026-01-12,IN,Android,B,Referral,40,15
100,2026-01-10,2026-01-13,IN,Android,B,Referral,41,5
100,2026-01-10,2026-01-15,IN,Android,B,Referral,11,5
100,2026-01-10,2026-01-18,IN,Android,B,Referral,43,0
101,2026-01-30,2026-02-02,US,Android,A,Ads,35,0
101,2026-01-30,2026-02-03,US,Android,A,Ads,59,0
101,2026-01-30,2026-02-04,US,Android,A,Ads,29,5
102,2026-01-04,2026-01-05,IN,Android,A,Ads,22,0
102,2026-01-04,2026-01-08,IN,Android,A,Ads,23,0
103,2026-01-14,2026-01-15,DE,Android,B,Referral,23,5
103,2026-01-14,2026-01-16,DE,Android,B,Referral,34,10
103,2026-01-14,2026-01-19,DE,Android,B,Referral,55,15
103,2026-01-14,2026-01-20,DE,Android,B,Referral,20,15
104,2026-01-16,2026-01-17,US,iOS,A,Ads,17,0
105,2026-01-15,2026-01-15,FI,Android,B,Organic,28,0
105,2026-01-15,2026-01-18,FI,Android,B,Organic,21,0
106,2026-01-08,2026-01-08,FI,Android,B,Ads,55,0
106,2026-01-08,2026-01-09,FI,Android,B,Ads,15,5
106,2026-01-08,2026-01-10,FI,Android,B,Ads,30,5
106,2026-01-08,2026-01-12,FI,Android,B,Ads,12,0
106,2026-01-08,2026-01-14,FI,Android,B,Ads,11,0
107,2026-01-14,2026-01-15,IN,iOS,A,Ads,7,5
107,2026-01-14,2026-01-16,IN,iOS,A,Ads,31,0
107,2026-01-14,2026-01-20,IN,iOS,A,Ads,15,0
108,2026-01-23,2026-01-23,FI,Android,A,Organic,41,0
108,2026-01-23,2026-01-24,FI,Android,A,Organic,21,5
109,2026-01-28,2026-01-31,US,iOS,A,Organic,18,5
110,2026-01-25,2026-01-25,FI,Android,B,Organic,56,5
111,2026-01-30,2026-01-30,DE,iOS,A,Organic,18,0
111,2026-01-30,2026-01-31,DE,iOS,A,Organic,10,5
112,2026-01-08,2026-01-09,DE,iOS,B,Ads,7,5
113,2026-01-21,2026-01-21,IN,iOS,A,Ads,44,5
113,2026-01-21,2026-01-22,IN,iOS,A,Ads,34,2
113,2026-01-21,2026-01-27,IN,iOS,A,Ads,38,0
114,2026-01-16,2026-01-16,US,iOS,A,Referral,12,10
114,2026-01-16,2026-01-17,US,iOS,A,Referral,21,0
114,2026-01-16,2026-01-19,US,iOS,A,Referral,33,15
114,2026-01-16,2026-01-20,US,iOS,A,Referral,57,5
114,2026-01-16,2026-01-21,US,iOS,A,Referral,20,5
114,2026-01-16,2026-01-23,US,iOS,A,Referral,21,15
114,2026-01-16,2026-01-24,US,iOS,A,Referral,6,15
115,2026-01-13,2026-01-15,DE,Android,B,Organic,29,0
115,2026-01-13,2026-01-16,DE,Android,B,Organic,20,5
115,2026-01-13,2026-01-17,DE,Android,B,Organic,44,0
116,2026-01-18,2026-01-19,DE,iOS,B,Ads,47,2
116,2026-01-18,2026-01-21,DE,iOS,B,Ads,38,5
116,2026-01-18,2026-01-22,DE,iOS,B,Ads,50,0
117,2026-01-15,2026-01-16,US,Android,B,Referral,5,15
118,2026-01-21,2026-01-22,FI,iOS,B,Ads,47,0
119,2026-01-24,2026-01-26,FI,iOS,B,Organic,38,5
119,2026-01-24,2026-01-28,FI,iOS,B,Organic,53,0
119,2026-01-24,2026-01-29,FI,iOS,B,Organic,58,0
121,2026-01-25,2026-01-26,FI,Android,B,Referral,38,5
121,2026-01-25,2026-01-27,FI,Android,B,Referral,11,15
121,2026-01-25,2026-01-28,FI,Android,B,Referral,11,15
121,2026-01-25,2026-01-29,FI,Android,B,Referral,5,15
122,2026-01-28,2026-01-28,US,iOS,B,Organic,13,5
122,2026-01-28,2026-01-29,US,iOS,B,Organic,46,5
122,2026-01-28,2026-01-30,US,iOS,B,Organic,10,10
122,2026-01-28,2026-02-01,US,iOS,B,Organic,12,0
123,2026-01-28,2026-01-28,DE,Android,A,Ads,28,0
123,2026-01-28,2026-01-30,DE,Android,A,Ads,39,5
124,2026-01-28,2026-01-28,FI,Android,B,Referral,5,10
124,2026-01-28,2026-01-29,FI,Android,B,Referral,22,10
124,2026-01-28,2026-01-31,FI,Android,B,Referral,27,0
124,2026-01-28,2026-02-04,FI,Android,B,Referral,48,5
126,2026-01-09,2026-01-09,FI,Android,A,Ads,55,0
126,2026-01-09,2026-01-10,FI,Android,A,Ads,57,2
126,2026-01-09,2026-01-13,FI,Android,A,Ads,32,0
129,2026-01-13,2026-01-14,FI,Android,A,Ads,21,5
130,2026-01-01,2026-01-03,IN,Android,B,Organic,57,0
130,2026-01-01,2026-01-04,IN,Android,B,Organic,22,0
130,2026-01-01,2026-01-05,IN,Android,B,Organic,27,5
130,2026-01-01,2026-01-06,IN,Android,B,Organic,11,5
131,2026-01-25,2026-01-25,US,Android,A,Referral,49,10
132,2026-01-07,2026-01-08,DE,iOS,B,Organic,37,10
132,2026-01-07,2026-01-10,DE,iOS,B,Organic,18,0
132,2026-01-07,2026-01-11,DE,iOS,B,Organic,19,5
132,2026-01-07,2026-01-12,DE,iOS,B,Organic,38,0
134,2026-01-24,2026-01-26,US,iOS,A,Ads,38,2
136,2026-01-12,2026-01-12,US,iOS,B,Organic,46,5
137,2026-01-08,2026-01-08,DE,Android,B,Referral,31,15
137,2026-01-08,2026-01-09,DE,Android,B,Referral,50,10
137,2026-01-08,2026-01-11,DE,Android,B,Referral,40,5
137,2026-01-08,2026-01-13,DE,Android,B,Referral,27,15
137,2026-01-08,2026-01-14,DE,Android,B,Referral,30,0
138,2026-01-24,2026-01-25,DE,Android,A,Ads,44,0
138,2026-01-24,2026-01-26,DE,Android,A,Ads,41,0
138,2026-01-24,2026-01-27,DE,Android,A,Ads,28,0
138,2026-01-24,2026-01-28,DE,Android,A,Ads,21,5
139,2026-01-11,2026-01-12,IN,Android,A,Referral,15,0
140,2026-01-19,2026-01-19,FI,Android,B,Referral,33,15
140,2026-01-19,2026-01-20,FI,Android,B,Referral,21,5
140,2026-01-19,2026-01-22,FI,Android,B,Referral,49,5
140,2026-01-19,2026-01-23,FI,Android,B,Referral,18,0
141,2026-01-17,2026-01-19,DE,Android,B,Organic,47,10
141,2026-01-17,2026-01-20,DE,Android,B,Organic,19,5
142,2026-01-08,2026-01-09,DE,Android,A,Referral,30,0
142,2026-01-08,2026-01-11,DE,Android,A,Referral,53,5
143,2026-01-03,2026-01-03,FI,Android,A,Organic,46,5
144,2026-01-03,2026-01-03,DE,iOS,B,Organic,7,5
147,2026-01-05,2026-01-07,FI,iOS,B,Ads,53,0
148,2026-01-10,2026-01-11,IN,Android,B,Ads,20,2
148,2026-01-10,2026-01-12,IN,Android,B,Ads,45,0
148,2026-01-10,2026-01-13,IN,Android,B,Ads,18,0
148,2026-01-10,2026-01-16,IN,Android,B,Ads,56,2
151,2026-01-09,2026-01-13,FI,iOS,A,Ads,46,0
151,2026-01-09,2026-01-15,FI,iOS,A,Ads,21,2
153,2026-01-07,2026-01-07,IN,Android,A,Referral,23,5
153,2026-01-07,2026-01-09,IN,Android,A,Referral,17,15
153,2026-01-07,2026-01-10,IN,Android,A,Referral,22,15
154,2026-01-09,2026-01-10,DE,Android,B,Organic,55,10
154,2026-01-09,2026-01-11,DE,Android,B,Organic,52,5
154,2026-01-09,2026-01-12,DE,Android,B,Organic,31,0
155,2026-01-08,2026-01-10,US,iOS,B,Ads,7,0
156,2026-01-12,2026-01-13,FI,Android,A,Referral,21,5
156,2026-01-12,2026-01-14,FI,Android,A,Referral,25,0
156,2026-01-12,2026-01-15,FI,Android,A,Referral,12,5
156,2026-01-12,2026-01-17,FI,Android,A,Referral,18,10
156,2026-01-12,2026-01-20,FI,Android,A,Referral,50,5
157,2026-01-02,2026-01-03,IN,iOS,A,Referral,7,5
157,2026-01-02,2026-01-05,IN,iOS,A,Referral,43,15
157,2026-01-02,2026-01-06,IN,iOS,A,Referral,38,5
157,2026-01-02,2026-01-09,IN,iOS,A,Referral,23,5
157,2026-01-02,2026-01-10,IN,iOS,A,Referral,14,5
158,2026-01-01,2026-01-01,DE,iOS,B,Referral,55,10
158,2026-01-01,2026-01-02,DE,iOS,B,Referral,16,0
158,2026-01-01,2026-01-03,DE,iOS,B,Referral,15,15
158,2026-01-01,2026-01-04,DE,iOS,B,Referral,14,0
158,2026-01-01,2026-01-06,DE,iOS,B,Referral,33,5
159,2026-01-16,2026-01-18,DE,iOS,B,Ads,34,2
159,2026-01-16,2026-01-21,DE,iOS,B,Ads,42,5
160,2026-01-23,2026-01-23,US,iOS,B,Organic,59,0
160,2026-01-23,2026-01-24,US,iOS,B,Organic,21,5
160,2026-01-23,2026-01-26,US,iOS,B,Organic,14,10
160,2026-01-23,2026-01-28,US,iOS,B,Organic,25,0
161,2026-01-23,2026-01-25,IN,Android,B,Ads,56,2
161,2026-01-23,2026-01-26,IN,Android,B,Ads,31,0
161,2026-01-23,2026-01-29,IN,Android,B,Ads,30,0
162,2026-01-30,2026-01-30,IN,iOS,B,Ads,56,5
162,2026-01-30,2026-02-03,IN,iOS,B,Ads,51,0
162,2026-01-30,2026-02-04,IN,iOS,B,Ads,24,0
163,2026-01-24,2026-01-25,FI,iOS,A,Referral,12,0
163,2026-01-24,2026-01-27,FI,iOS,A,Referral,27,15
164,2026-01-05,2026-01-05,IN,Android,A,Referral,17,15
164,2026-01-05,2026-01-06,IN,Android,A,Referral,46,10
164,2026-01-05,2026-01-08,IN,Android,A,Referral,27,10
165,2026-01-03,2026-01-03,IN,Android,B,Organic,16,10
165,2026-01-03,2026-01-04,IN,Android,B,Organic,12,0
165,2026-01-03,2026-01-07,IN,Android,B,Organic,17,5
165,2026-01-03,2026-01-08,IN,Android,B,Organic,30,10
166,2026-01-12,2026-01-12,US,iOS,A,Referral,32,5
166,2026-01-12,2026-01-13,US,iOS,A,Referral,26,15
167,2026-01-08,2026-01-08,IN,Android,A,Organic,11,0
168,2026-01-22,2026-01-24,DE,iOS,A,Organic,41,0
168,2026-01-22,2026-01-28,DE,iOS,A,Organic,54,5
169,2026-01-27,2026-01-30,US,iOS,B,Ads,52,2
169,2026-01-27,2026-02-02,US,iOS,B,Ads,30,5
169,2026-01-27,2026-02-03,US,iOS,B,Ads,33,5
171,2026-01-01,2026-01-01,FI,iOS,B,Ads,20,5
171,2026-01-01,2026-01-05,FI,iOS,B,Ads,48,2
